Date,Open,High,Low,Close,Adj Close,Volume
6/30/2000,40.1875,42.25,40,42.03125,36.270248,38093000
7/3/2000,40.5625,40.875,39.4375,40.09375,34.59832,42136200
7/5/2000,38.40625,38.8125,36.09375,36.15625,31.200495,94634200
7/6/2000,35.875,37.9375,35.875,37.8125,32.629742,50533000
7/7/2000,37.96875,38.5,37.75,37.9375,32.737595,31480200
7/10/2000,37.3125,37.75,36.4375,37.0625,31.982534,43957600
7/11/2000,36.8125,37.625,35.5625,36.15625,31.200495,42121400
7/12/2000,36.71875,37.5625,36.5,37.34375,32.225227,34368400
7/13/2000,37.875,38.3125,37.375,37.875,32.68367,41625400
7/14/2000,38.09375,38.25,37.5625,38.0625,32.84547,31712000
7/17/2000,37.65625,39,37.03125,38.0625,32.84547,32388800
7/18/2000,37.84375,38.3125,37.03125,37.09375,32.009506,29967000
7/19/2000,37.5,37.96875,36.5,36.875,31.820728,31558600
7/20/2000,37.40625,39.5,37.375,39.0625,33.708412,35382000
7/21/2000,38.71875,38.84375,37.53125,37.71875,32.54884,30925000
7/24/2000,38.5625,39.3125,37.46875,37.5,32.360065,38060200
7/25/2000,37.9375,38.25,37.15625,38,32.791534,27118200
7/26/2000,37.40625,39,37.03125,38.375,33.115131,31826400
7/27/2000,37.96875,39,37.5,37.53125,32.387039,32539000
7/28/2000,37.5625,38.21875,35.53125,36.1875,31.227459,33203400
7/31/2000,35.875,37.75,35.6875,37.59375,32.440971,34406400
8/1/2000,37.59375,37.9375,36.4375,36.5625,31.55106,30190800
8/2/2000,36.5,37.625,36.1875,36.5625,31.55106,30315000
8/3/2000,36.40625,38.75,35.8125,38.71875,33.41177,44941200
8/4/2000,39.15625,41.15625,39.0625,40.78125,35.19157,73211600
8/7/2000,40.4375,41.1875,40.375,40.9375,35.326416,40751400
8/8/2000,40.5,41.625,40.40625,41.5,35.811806,34931800
8/9/2000,41.75,42.140625,40.59375,40.6875,35.11068,30846000
8/10/2000,40.71875,41.1875,40,40.03125,34.544373,24436000
8/11/2000,39.96875,40.96875,39.625,40.5625,35.002811,22106800
8/14/2000,40.09375,41.28125,39.9375,41.1875,35.542137,21862200
8/15/2000,40.96875,41.78125,40.5625,40.625,35.056732,31208800
8/16/2000,40.6875,41.125,40.53125,40.59375,35.029762,22698200
8/17/2000,40.4375,42.03125,40.40625,41.96875,36.216312,30085000
8/18/2000,41.75,42.375,40.5625,40.65625,35.083706,31121200
8/21/2000,41.0625,41.6875,40.382813,41.59375,35.892719,20295600
8/22/2000,41.4375,42.09375,41.09375,41.78125,36.054508,23251600
8/23/2000,41.46875,41.5625,40.5,41.4375,35.757866,25104800
8/24/2000,41.4375,42.53125,41.34375,42.34375,36.539906,40413200
8/25/2000,42.34375,43.40625,42.25,42.3125,36.512947,26866600
8/28/2000,42.5,43.96875,42.46875,43.375,37.429817,25833600
8/29/2000,43.40625,44.632813,43.28125,43.875,37.861263,37678600
8/30/2000,43.84375,44.40625,43.5625,44.125,38.077023,27073400
8/31/2000,44.21875,45.5,44.21875,45.46875,39.236576,39840000
9/1/2000,46.101563,46.46875,45.4375,46.3125,39.96468,30417800
9/5/2000,46.1875,46.40625,45.28125,45.53125,39.290527,25535800
9/6/2000,45.6875,45.875,44.53125,44.625,38.508484,38473000
9/7/2000,45.0625,45.875,44.75,45.59375,39.34444,28559000
9/8/2000,45.40625,45.4375,43.25,43.28125,37.348904,34569400
9/11/2000,43.03125,43.375,41.1875,41.71875,36.000576,41459600
9/12/2000,41.5,42.65625,39.53125,39.6875,34.247738,49606000
9/13/2000,38.875,41.375,38.46875,40.90625,35.299442,68132400
9/14/2000,43.1875,43.3125,41.125,42.46875,36.647793,64170600
9/15/2000,40.5625,41.4375,39,39.15625,33.789299,122939600
9/18/2000,39.40625,40,37.375,38.234375,32.993786,72997800
9/19/2000,38.71875,39.875,38.0625,39.65625,34.220776,53198600
9/20/2000,39.5,40.3125,38.75,39.96875,34.49044,37352200
9/21/2000,39.71875,40,37.75,39.46875,34.058975,27160000
9/22/2000,37.96875,40.375,37.75,40.367188,34.834255,58729400
9/25/2000,40.5625,41.28125,39.375,39.375,33.978069,34748600
9/26/2000,39.65625,40.5,39.3125,39.71875,34.274715,39993400
9/27/2000,40.09375,40.46875,39,39.9375,34.463463,48205600
9/28/2000,39.75,41.09375,39.1875,40.742188,35.157864,42188600
9/29/2000,40.679688,40.84375,39.125,39.375,33.978069,34843000
10/2/2000,39.875,41.0625,38.859375,39.375,33.978069,46136800
10/3/2000,39.90625,40.804688,34.375,34.75,29.986998,96827800
10/4/2000,33,35.375,30.25,34.0625,29.393726,204852000
10/5/2000,34.15625,34.8125,33.25,34.15625,29.474634,54316000
10/6/2000,34.625,35.8125,33.4375,33.8125,29.177998,53378400
10/9/2000,33.8125,34.375,32.5625,33.375,28.800461,40304000
10/10/2000,33.03125,33.625,32.25,32.3125,27.883589,50948400
10/11/2000,31.5,32.992188,31,31.125,26.858856,71687200
10/12/2000,31.90625,32.4375,30.875,31.5,27.182453,50889400
10/13/2000,31,35.75,31,35.625,30.742081,38514000
10/16/2000,36.5625,37,33.375,34.5625,29.825195,36480500
10/17/2000,35.75,35.875,32.875,33.6875,29.070126,29353900
10/18/2000,31.5625,35.375,30.5,33.5625,28.962259,52547900
10/19/2000,36,36.5,34.625,36.375,31.389259,39321000
10/20/2000,36.125,36.5,34.9375,35.25,30.418463,34073400
10/23/2000,35.1875,35.25,33.375,34.0625,29.393726,28316300
10/24/2000,35,36.5625,34.5,35.8125,30.903864,36713000
10/25/2000,36.5,36.625,34,34.375,29.663399,33361600
10/26/2000,34.75,35.875,30.9375,34.0625,29.393726,49986600
10/27/2000,34.5,35.1875,33,34.1875,29.501602,34962500
10/30/2000,33.75,34.125,31.375,31.625,27.290329,35420300
10/31/2000,32.625,34.75,32.5,33,28.476849,41881000
11/1/2000,32.8125,33.1875,30.375,31.375,27.074585,62692100
11/2/2000,32.4375,32.5,27.25,29.5625,25.510521,149767500
11/3/2000,31.5,31.75,29.5,30.3125,26.157721,65017500
11/6/2000,30.6875,31,27.5,27.9375,24.108252,75551500
11/7/2000,28.375,28.4375,26.5,26.5625,22.921717,58951000
11/8/2000,27.375,27.5,24.5,24.8125,21.411581,63040000
11/9/2000,24.6875,27.375,24.0625,27.1875,23.46105,67280700
11/10/2000,26.4375,26.9375,24.875,25.4375,21.950918,54609400
11/13/2000,25.125,25.875,23.5,24.75,21.357645,61652800
11/14/2000,27.375,28.5,26.5,28.375,24.485786,77494300
11/15/2000,28.8125,29.4375,27.703125,28.875,24.91725,50649700
11/16/2000,28.75,29.8125,27.25,27.375,23.622845,37986600
11/17/2000,26.9375,29.25,25.25,28.8125,24.863319,59636000
11/20/2000,24.3125,25.875,24,24.75,21.357645,89778400
11/21/2000,24.8125,25.625,23.5,23.875,20.602577,58647400
11/22/2000,23.625,24.0625,22.0625,22.3125,19.254242,53315300
11/24/2000,23.3125,24.25,23.125,24.125,20.818312,22443900
11/27/2000,25.4375,25.8125,22.875,23.125,19.955374,45665200
11/28/2000,23.5,23.8125,22.25,22.65625,19.550873,43075300
11/29/2000,23.1875,23.625,21.8125,22.875,19.739643,75409600
11/30/2000,21.75,27.625,21.5,26.5,22.867773,84386200
12/1/2000,26.375,27.875,25.5,26.4375,22.813843,48663500
12/4/2000,26.25,28.875,26.1875,28.1875,24.323984,40710400
12/5/2000,29.4375,31.5,28.875,31.5,27.182453,59754700
12/6/2000,31.1875,31.625,29.3125,30.1875,26.049858,42125600
12/7/2000,29.625,29.9375,28.125,28.3125,24.431849,41088300
12/8/2000,30.0625,30.625,29.25,30.0625,25.941986,40052600
12/11/2000,30.5,32.25,30,31.9375,27.559999,50279700
